"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"qvalue";"log10P"
"OLFM4";151;-1,91;0,715;-2,67;0,00753;0,283;0,405;2,12
"IL17REL";15,4;-2,04;0,764;-2,67;0,00754;0,283;0,405;2,12
"CAPG";1630;-1,05;0,392;-2,67;0,00754;0,283;0,405;2,12
"RPGRIP1L";155;0,701;0,262;2,67;0,00755;0,283;0,405;2,12
"CACNG1";11,1;3,34;1,25;2,67;0,00756;0,283;0,405;2,12
"TRAV12-3";9,5;-1,58;0,592;-2,67;0,00758;0,283;0,405;2,12
"IL16";1350;-0,861;0,322;-2,67;0,00758;0,283;0,405;2,12
"GLIPR1L1";6,21;1,98;0,744;2,67;0,00761;0,284;0,406;2,12
"ZP3";61,2;-1,36;0,509;-2,66;0,0077;0,287;0,41;2,11
"DUSP5";263;-0,973;0,365;-2,66;0,00772;0,287;0,411;2,11
"MIR663AHG";68,9;-1,1;0,415;-2,66;0,00779;0,289;0,413;2,11
"PVRIG";46,9;-1,42;0,532;-2,66;0,0078;0,289;0,413;2,11
"RNFT2";53,5;-1,19;0,448;-2,66;0,00782;0,289;0,413;2,11
"SPIC";1,91;-4,92;1,85;-2,66;0,00783;NA;0,413;2,11
"GRTP1-AS1";4,45;2,33;0,877;2,66;0,00784;0,289;0,413;2,11
"SIGLEC7";20,6;-1,26;0,474;-2,66;0,00784;0,289;0,413;2,11
"L3HYPDH";417;0,909;0,342;2,66;0,0079;0,291;0,415;2,1
"KCNA5";20,4;-1,75;0,66;-2,65;0,00795;0,292;0,417;2,1
"MMP2-AS1";9,94;-1,71;0,646;-2,65;0,00797;0,292;0,418;2,1
"NAALADL1";130;-1,08;0,406;-2,65;0,008;0,293;0,418;2,1
"RNF166";787;-0,617;0,233;-2,65;0,00801;0,293;0,418;2,1
"AC027097.2";43,7;-0,966;0,365;-2,65;0,00811;0,296;0,423;2,09
"CCDC125";876;0,646;0,244;2,65;0,00812;0,296;0,423;2,09
"MIA";703;-1,44;0,544;-2,65;0,00815;0,296;0,423;2,09
"SPATA18";807;0,971;0,367;2,65;0,00816;0,296;0,423;2,09
"DPY19L2";148;1,07;0,404;2,65;0,00817;0,296;0,423;2,09
"AC011472.5";8,51;-1,69;0,641;-2,64;0,00822;0,297;0,425;2,09
"IL34";557;-0,779;0,295;-2,64;0,00822;0,297;0,425;2,08
"CXCL5";5900;2,24;0,848;2,64;0,00826;0,297;0,425;2,08
"AC107027.3";52,7;0,814;0,308;2,64;0,00826;0,297;0,425;2,08
"RENBP";222;-0,802;0,304;-2,64;0,00826;0,297;0,425;2,08
"CHN1";132;-1,33;0,504;-2,64;0,00827;0,297;0,425;2,08
"RBM28";763;0,689;0,261;2,64;0,00831;0,298;0,426;2,08
"TRAF3IP3";564;-1,1;0,416;-2,64;0,00832;0,298;0,426;2,08
"LCP1";2540;-0,946;0,358;-2,64;0,00833;0,298;0,426;2,08
"LCNL1";26;-1,85;0,701;-2,64;0,00837;0,299;0,427;2,08
"HLA-DQA2";662;-2,36;0,894;-2,64;0,00841;0,299;0,427;2,08
"PALD1";268;-0,809;0,307;-2,64;0,00841;0,299;0,427;2,08
"CTXND1";23,2;-1,69;0,641;-2,64;0,00841;0,299;0,427;2,08
"GABRQ";4,93;-3,09;1,17;-2,63;0,00843;0,299;0,427;2,07
"CYBB";1200;-1,17;0,445;-2,63;0,00846;0,299;0,428;2,07
"LSP1";3180;-0,692;0,263;-2,63;0,00847;0,299;0,428;2,07
"C6orf58";225000;1,12;0,425;2,63;0,00848;0,299;0,428;2,07
"NRIR";9,78;2,13;0,808;2,63;0,00849;0,299;0,428;2,07
"RHOH";415;-0,899;0,342;-2,63;0,00851;0,3;0,428;2,07
"NECAP2";1220;-0,609;0,232;-2,63;0,0086;0,302;0,432;2,07
"PRKAB2";600;0,513;0,195;2,63;0,00863;0,303;0,433;2,06
"GJB6";33;1,91;0,728;2,62;0,00869;0,304;0,435;2,06
"CD180";351;-1,19;0,453;-2,62;0,00878;0,307;0,438;2,06
"JAKMIP2";47,6;-1,76;0,671;-2,62;0,00879;0,307;0,438;2,06
"KIRREL2";2,64;-3,68;1,4;-2,62;0,00879;NA;0,438;2,06
"AC008105.3";369;-0,721;0,275;-2,62;0,00879;0,307;0,438;2,06
"SLC2A5";101;-1,25;0,478;-2,62;0,00888;0,309;0,441;2,05
"TRBV21-1";3,35;-3,47;1,33;-2,62;0,00888;0,309;0,441;2,05
"TNFRSF14";2840;-0,613;0,235;-2,61;0,00894;0,31;0,443;2,05
"RIBC2";12;1,53;0,587;2,61;0,00896;0,311;0,444;2,05
"TRAT1";53,9;-1,62;0,619;-2,61;0,00898;0,311;0,444;2,05
"PLLP";709;-1,41;0,541;-2,61;0,00904;0,312;0,446;2,04
"STMN1";701;-1,03;0,394;-2,61;0,00908;0,313;0,447;2,04
"AOC1";25,9;-1,14;0,438;-2,61;0,00908;0,313;0,447;2,04
"AOAH";193;-1,01;0,388;-2,61;0,00913;0,314;0,449;2,04
"CNR2";101;-1,2;0,459;-2,61;0,00917;0,315;0,45;2,04
"IGKV2-28";22700;-1,14;0,437;-2,6;0,00919;0,315;0,45;2,04
"CD8B";154;-1,41;0,542;-2,6;0,0092;0,315;0,45;2,04
"AL121987.2";28,2;-1,25;0,48;-2,6;0,00924;0,316;0,451;2,03
"AC007998.2";1,83;-4,19;1,61;-2,6;0,00924;NA;0,451;2,03
"RHOF";293;-0,637;0,245;-2,6;0,00927;0,317;0,451;2,03
"LINC02422";10,6;-2,95;1,13;-2,6;0,00931;0,318;0,453;2,03
"SERPINA9";4,37;-3,45;1,33;-2,6;0,00936;0,319;0,454;2,03
"HHEX";162;-1,08;0,418;-2,6;0,00937;0,319;0,454;2,03
"LEF1";123;-1,11;0,429;-2,6;0,00944;0,321;0,457;2,03
"MATK";137;-1,22;0,47;-2,59;0,00946;0,321;0,457;2,02
"AC087632.1";4,44;3,96;1,53;2,59;0,00947;0,321;0,457;2,02
"PLD5";51,3;1,46;0,562;2,59;0,00951;0,322;0,458;2,02
"IRF1";1460;-0,856;0,33;-2,59;0,00955;0,322;0,459;2,02
"AL391069.3";12,6;-1,64;0,634;-2,59;0,00955;0,322;0,459;2,02
"AC093525.2";3,52;3,58;1,38;2,59;0,00958;0,322;0,46;2,02
"NADK2";775;0,595;0,23;2,59;0,00959;0,322;0,46;2,02
"AC106712.1";16,1;1,62;0,624;2,59;0,00961;0,323;0,46;2,02
"RFX6";2,29;4,45;1,72;2,59;0,00972;NA;0,465;2,01
"APOBEC3G";701;-0,868;0,336;-2,58;0,00979;0,326;0,465;2,01
"NCALD";3670;0,917;0,355;2,58;0,00979;0,326;0,465;2,01
"LMLN";249;0,889;0,344;2,58;0,0098;0,326;0,465;2,01
"RNU2-1";60;-1,42;0,55;-2,58;0,0098;0,326;0,465;2,01
"MFNG";365;-0,869;0,336;-2,58;0,00981;0,326;0,465;2,01
"IGKV2D-29";911;-1,78;0,688;-2,58;0,00983;0,326;0,465;2,01
"FCGR2A";402;-0,604;0,234;-2,58;0,00983;0,326;0,465;2,01
"GPR183";285;-1,49;0,576;-2,58;0,00985;0,326;0,465;2,01
"ACAN";16,2;-2,36;0,916;-2,58;0,00985;0,326;0,465;2,01
"NFAM1";135;-0,746;0,289;-2,58;0,00988;0,326;0,465;2,01
"AAK1";852;-0,677;0,262;-2,58;0,00988;0,326;0,465;2,01
"LINC01503";32,7;-1,31;0,506;-2,58;0,00991;0,327;0,465;2
"DBH-AS1";37,9;-1,11;0,432;-2,58;0,00992;0,327;0,465;2
"IRAK3";684;0,598;0,232;2,58;0,00995;0,327;0,465;2
"CREBZF";2530;0,558;0,216;2,58;0,00995;0,327;0,465;2
"GAS2L3";95;-1,95;0,758;-2,58;0,00996;0,327;0,465;2
"MAGI2-AS3";702;0,521;0,202;2,57;0,0101;0,33;0,469;2
"TFEC";205;-1,68;0,651;-2,57;0,0101;0,33;0,469;2
"NDP";8,55;-2,03;0,789;-2,57;0,0101;0,331;0,472;1,99
"LINC01943";24,2;-1,95;0,757;-2,57;0,0102;0,331;0,472;1,99
"AL118505.1";7,74;1,96;0,762;2,57;0,0102;0,332;0,473;1,99
"VAV1";470;-0,681;0,265;-2,57;0,0103;0,334;0,476;1,99
"NLRP6";15,8;-1,91;0,746;-2,57;0,0103;0,334;0,476;1,99
"IGLV2-34";22,9;-1,78;0,694;-2,56;0,0104;0,336;0,478;1,98
"C1orf54";191;-1,3;0,506;-2,56;0,0104;0,336;0,478;1,98
"PEX5L";30,4;-1,99;0,776;-2,56;0,0104;0,336;0,479;1,98
"AC098679.2";26,6;1,34;0,525;2,56;0,0104;0,336;0,479;1,98
"MAP1LC3A";636;-0,807;0,315;-2,56;0,0105;0,337;0,48;1,98
"DERL3";4260;-0,936;0,366;-2,56;0,0105;0,338;0,481;1,98
"CLCA2";14,3;2,56;1;2,56;0,0105;0,338;0,481;1,98
"KIF3C";171;-1,48;0,577;-2,56;0,0105;0,338;0,482;1,98
"IGKV1D-39";19300;-1,29;0,504;-2,56;0,0106;0,339;0,482;1,98
"CMTM3";648;-0,836;0,327;-2,55;0,0106;0,341;0,485;1,97
"AC100793.4";7,08;2,13;0,834;2,55;0,0107;0,342;0,488;1,97
"CCR6";141;-1,47;0,577;-2,55;0,0107;0,342;0,488;1,97
"CERNA2";80,7;-1,29;0,506;-2,55;0,0108;0,343;0,489;1,97
"ELFN1-AS1";11,2;-1,73;0,68;-2,55;0,0108;0,343;0,489;1,97
"BRSK2";23,6;-1,74;0,681;-2,55;0,0108;0,344;0,49;1,97
"ASF1B";45,5;-0,83;0,326;-2,55;0,0108;0,344;0,49;1,97
"CDCA2";12,3;-2,18;0,856;-2,55;0,0109;0,344;0,491;1,96
"CXCL2";110;-1,32;0,518;-2,55;0,0109;0,345;0,492;1,96
"LINC01504";20,8;-1,23;0,484;-2,54;0,011;0,346;0,493;1,96
"C1QA";2730;-1,1;0,431;-2,54;0,011;0,348;0,496;1,96
"TREML2";18,3;-1,11;0,438;-2,54;0,011;0,348;0,496;1,96
"PCLAF";72;-1,16;0,458;-2,54;0,011;0,348;0,496;1,96
"SLC10A7";387;0,927;0,365;2,54;0,0111;0,349;0,497;1,95
"AC078927.1";12,2;-2,16;0,852;-2,54;0,0111;0,349;0,497;1,95
"SH2D7";2,27;3,58;1,41;2,54;0,0111;NA;0,498;1,95
"AP001148.1";34,5;1,26;0,498;2,54;0,0112;0,35;0,498;1,95
"CCL4L2";30,8;-1,63;0,641;-2,54;0,0112;0,35;0,498;1,95
"CRY1";473;0,745;0,294;2,54;0,0112;0,35;0,498;1,95
"TLR8";53,6;-1,22;0,48;-2,54;0,0112;0,35;0,498;1,95
"CDKN2A";112;-1,06;0,418;-2,54;0,0112;0,35;0,498;1,95
"LINC02145";12,7;2,01;0,795;2,53;0,0113;0,35;0,498;1,95
"KCNG1";72,2;-1,05;0,415;-2,53;0,0113;0,35;0,498;1,95
"ANKRA2";478;0,528;0,208;2,53;0,0113;0,35;0,498;1,95
"FCGBP";20900;-2,27;0,894;-2,53;0,0113;0,35;0,498;1,95
"MDS2";4,97;-2,32;0,915;-2,53;0,0113;0,35;0,498;1,95
"AC008443.3";4,34;2,64;1,04;2,53;0,0113;0,35;0,498;1,95
"LINC01473";11,9;1,66;0,657;2,53;0,0114;0,353;0,502;1,94
"TAMM41";198;0,589;0,233;2,53;0,0115;0,355;0,505;1,94
"MASTL";168;0,683;0,27;2,53;0,0115;0,355;0,505;1,94
"AC108860.2";106;0,889;0,352;2,53;0,0115;0,355;0,505;1,94
"XAF1";1090;1,09;0,431;2,52;0,0116;0,356;0,506;1,94
"ITK";230;-0,975;0,387;-2,52;0,0117;0,359;0,511;1,93
"C20orf204";34,8;-1,59;0,632;-2,52;0,0117;0,359;0,511;1,93
"A1BG";248;-1,07;0,424;-2,52;0,0118;0,359;0,512;1,93
"FGF1";275;-1,02;0,405;-2,52;0,0118;0,359;0,512;1,93
"ACAT1";2030;0,643;0,255;2,52;0,0118;0,36;0,512;1,93
"TRHDE";91;1;0,397;2,52;0,0118;0,36;0,513;1,93
"RNASE13";14,4;2,05;0,816;2,52;0,0118;0,36;0,513;1,93
"B4GALNT4";184;-1,58;0,626;-2,52;0,0118;0,36;0,513;1,93
"TMED7";3070;0,622;0,247;2,52;0,0119;0,361;0,514;1,92
"AC097534.1";3,43;3,89;1,55;2,51;0,0119;0,361;0,514;1,92
"SPINK5";565;1,51;0,602;2,51;0,0119;0,361;0,514;1,92
"TBX21";64,1;-1,29;0,512;-2,51;0,012;0,362;0,515;1,92
"IGKV1-5";24900;-1,15;0,456;-2,51;0,012;0,362;0,515;1,92
"TFF2";149;1,54;0,615;2,51;0,0121;0,364;0,519;1,92
"FKBP5";973;-0,997;0,397;-2,51;0,0121;0,364;0,519;1,92
"KCNA2";139;-0,939;0,374;-2,51;0,0121;0,364;0,519;1,92
"C1QB";1900;-1,08;0,432;-2,51;0,0121;0,364;0,519;1,92
"P2RX5";145;-1,08;0,429;-2,51;0,0121;0,364;0,519;1,92
"MZB1";5100;-1,06;0,424;-2,51;0,0122;0,364;0,519;1,92
"LAT2";349;-0,892;0,356;-2,51;0,0122;0,364;0,519;1,91
"GRIN3A";55,2;1,16;0,464;2,51;0,0122;0,364;0,519;1,91
"CCL17";39,2;-1,58;0,629;-2,5;0,0123;0,366;0,521;1,91
"SH3BGRL3";1930;-0,729;0,291;-2,5;0,0123;0,367;0,523;1,91
"TRAF1";568;-0,733;0,293;-2,5;0,0123;0,367;0,523;1,91
"LIME1";942;-0,763;0,305;-2,5;0,0124;0,369;0,526;1,91
"POU3F2";8,04;-3,46;1,38;-2,5;0,0124;0,369;0,526;1,91
"LILRB2";141;-0,759;0,305;-2,49;0,0127;0,375;0,535;1,9
"IGKC";512000;-0,981;0,394;-2,49;0,0128;0,377;0,537;1,89
"RPL9";16300;-1,36;0,547;-2,49;0,0128;0,377;0,537;1,89
"AP003068.1";14,5;-1,71;0,685;-2,49;0,0128;0,377;0,537;1,89
"SELP";147;-0,769;0,309;-2,49;0,0128;0,378;0,538;1,89
"AC092384.3";10,7;-1,74;0,7;-2,49;0,0128;0,378;0,538;1,89
"HPX";62,7;1,38;0,555;2,49;0,0128;0,378;0,538;1,89
"AL358781.1";156;-1,26;0,507;-2,49;0,0128;0,378;0,538;1,89
"LINC01554";703;1,05;0,421;2,49;0,0129;0,378;0,538;1,89
"CXXC5-AS1";1,33;-4,25;1,71;-2,49;0,0129;NA;0,538;1,89
"ADGRE1";16,1;-1,56;0,629;-2,48;0,013;0,381;0,542;1,89
"FXYD5";725;-0,688;0,277;-2,48;0,013;0,381;0,542;1,89
"PLA2G4A";554;0,991;0,399;2,48;0,013;0,381;0,542;1,89
